style,ISc2,GC_S,GC_P,GC_C,gender,age,birth,ethnic,religion,school,class,major,firstlang,secondlang,intl_travel,s_abroad,travel,studyabroad
1,88,17,20,41,M,TRAD,US,WHITE,Christian,9,Undergraduate,Other,ENGLISH,1,5,,Eight_plus,0
1,94,15,24,38,F,TRAD,US,NON-WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,2,,Once,0
1,86,16,20,36,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,80,16,22,30,F,TRAD,US,WHITE,Christian,10,Undergraduate,Other,ENGLISH,2,3,,TwoFour,0
1,83,13,24,35,F,TRAD,US,WHITE,Christian,6,Undergraduate,Secondary,ENGLISH,1,3,,TwoFour,0
1,103,26,30,42,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,82,18,23,37,F,TRAD,US,NON-WHITE,Christian,9,Undergraduate,Eled,ENGLISH,1,2,1,Once,1
1,95,23,26,40,F,TRAD,US,NON-WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,98,16,21,42,F,NON-TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,106,27,27,47,F,TRAD,US,WHITE,Christian,2,Undergraduate,Eled,ENGLISH,1,4,,FiveSeven,0
1,80,21,21,31,F,NON-TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,2,2,,Once,0
1,79,25,26,40,F,TRAD,US,NON-WHITE,Christian,2,Undergraduate,Eled,ENGLISH,2,2,,Once,0
1,96,24,19,43,F,TRAD,US,NON-WHITE,Christian,6,Undergraduate,Eled,NON-ENGLISH,2,3,,TwoFour,0
1,77,14,21,32,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,3,1,TwoFour,1
1,95,30,26,44,F,TRAD,US,NON-WHITE,Non-Christian,9,Undergraduate,Other,ENGLISH,1,3,,TwoFour,0
1,85,24,20,38,F,TRAD,US,WHITE,Christian,9,Undergraduate,Secondary,ENGLISH,1,2,,Once,0
1,86,20,23,36,F,TRAD,US,WHITE,Christian,9,Undergraduate,Secondary,ENGLISH,2,4,,FiveSeven,0
1,98,23,22,33,M,TRAD,NON-US,NON-WHITE,Non-Christian,9,Undergraduate,Eled,NON-ENGLISH,2,1,,Never,0
1,87,15,20,33,F,TRAD,US,NON-WHITE,Christian,2,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,105,27,30,39,F,TRAD,NON-US,WHITE,Non-Christian,3,Undergraduate,Secondary,ENGLISH,1,5,,Eight_plus,0
1,86,21,25,35,F,NON-TRAD,US,NON-WHITE,Christian,6,Undergraduate,Eled,NON-ENGLISH,2,2,,Once,0
1,70,10,26,39,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,86,14,20,30,F,TRAD,US,WHITE,Christian,3,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,94,26,28,35,F,NON-TRAD,US,NON-WHITE,Christian,9,Undergraduate,Secondary,NON-ENGLISH,1,3,,TwoFour,0
1,89,20,23,44,F,TRAD,US,WHITE,Christian,3,Undergraduate,Eled,ENGLISH,2,5,,Eight_plus,0
1,88,9,25,36,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Secondary,ENGLISH,1,1,,Never,0
1,101,18,28,41,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,85,16,17,33,F,NON-TRAD,US,NON-WHITE,Christian,6,Undergraduate,Other,ENGLISH,2,2,,Once,0
1,92,13,27,36,F,NON-TRAD,US,WHITE,Christian,9,Undergraduate,Secondary,ENGLISH,1,1,,Never,0
1,77,12,17,27,F,TRAD,US,WHITE,Christian,2,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,90,23,26,37,F,TRAD,NON-US,WHITE,Christian,9,Undergraduate,Eled,ENGLISH,2,5,,Eight_plus,0
1,85,19,18,34,F,NON-TRAD,US,WHITE,Christian,2,Undergraduate,Eled,ENGLISH,1,2,,Once,0
1,108,29,30,50,F,TRAD,US,WHITE,Non-Christian,2,Undergraduate,Eled,ENGLISH,1,3,1,TwoFour,1
1,87,17,25,35,M,NON-TRAD,US,WHITE,Non-Christian,9,Undergraduate,Secondary,ENGLISH,1,3,,TwoFour,0
1,84,18,25,36,F,TRAD,US,WHITE,Christian,9,Undergraduate,Other,ENGLISH,1,3,,TwoFour,0
1,90,17,25,28,F,TRAD,US,WHITE,Christian,9,Undergraduate,Other,ENGLISH,2,1,,Never,0
1,89,25,22,31,F,NON-TRAD,US,NON-WHITE,Christian,6,Undergraduate,Other,ENGLISH,2,1,,Never,0
1,83,21,18,33,F,TRAD,US,NON-WHITE,Christian,6,Undergraduate,Other,NON-ENGLISH,1,3,,TwoFour,0
1,95,16,19,40,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,93,13,18,23,F,NON-TRAD,US,NON-WHITE,Christian,6,Undergraduate,Eled,NON-ENGLISH,2,1,,Never,0
1,66,12,16,26,F,TRAD,US,WHITE,Christian,6,Undergraduate,Secondary,ENGLISH,1,2,,Once,0
1,105,31,25,45,M,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,2,2,,Once,0
1,80,18,23,29,F,TRAD,US,WHITE,Christian,6,Undergraduate,Secondary,ENGLISH,1,3,,TwoFour,0
1,95,16,20,37,F,TRAD,US,WHITE,Non-Christian,2,Graduate,Eled,ENGLISH,1,3,,TwoFour,0
1,80,14,23,29,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,83,14,22,36,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,97,21,24,43,F,TRAD,US,NON-WHITE,Christian,6,Undergraduate,Secondary,ENGLISH,1,1,,Never,0
1,89,14,21,33,F,TRAD,US,WHITE,Christian,6,Undergraduate,Eled,ENGLISH,1,5,,Eight_plus,0
1,87,19,23,39,F,TRAD,US,WHITE,Non-Christian,6,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
