University,Year,Class,ID,IS1,IS2,IS3,IS4,IS5,IS6,IS7,IS8,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS16,IS17,IS18,IS19,IS20,IS21,IS22,IS23,IS24,IS25,GC1,GC2,GC3,GC4,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC13,GC14,GC15,GC16,GC17,GC18,GC19,GC20,GC21,GC22,GC23,GC24,gender,age,japan_citizen,other_citizen,ethnicity,ethnicity_text,religion,religion_txt,undergrad_grad,class_year,class_year_txt,major,faculty,firstlang,firstlang_txt,secondlang,secondlang_txt,SecondLang_Proficiency,SecondLang_Frequency,SecondLang_Frequency_txt,International_Travel_Count,Travel_Purpose,Travel_Purpose_txt,Notes
K,1,4,8,2,2,2,2,4,4,2,4,4,2,2,4,2,2,2,4,2,1,4,2,2,4,2,4,5,4,2,3,4,2,2,2,1,2,2,1,1,2,1,1,1,3,3,3,3,2,4,2,4,1,19,1,,1,,6,,1,1,,人間社会学域学校教育学類特別支援専攻,,1,,1,英語,2,2,,0,,,
K,1,4,9,2,4,2,4,3,1,2,2,3,4,2,3,2,3,3,3,2,1,4,1,2,4,1,4,1,3,2,5,4,2,2,2,2,3,2,1,3,3,1,1,1,4,4,4,4,3,5,3,4,1,20,1,,1,,,,1,1,,地域創造学類,,1,,1,英語、ロシア語,1,2,,0,,,信仰している宗教　無回答
K,1,4,10,2,2,2,3,2,3,2,2,3,2,2,4,3,3,3,3,2,1,4,2,2,2,1,4,2,2,2,3,3,2,2,3,2,2,2,1,2,2,1,1,1,3,3,3,3,2,4,2,4,1,19,1,,1,,7,神道,1,1,,学校教育　保健体育,,1,,1,英語,2,3,,0,,,
K,1,4,11,2,2,2,3,2,3,3,2,3,2,1,3,2,2,2,4,2,1,3,2,2,4,1,2,3,3,3,3,3,2,2,1,2,2,2,1,2,3,3,1,1,3,2,1,2,1,4,2,3,2,18,1,,1,,1,,1,1,,学校教育学類,,1,,1,英語,2,3,,1,5,高校の研修,
K,1,4,12,2,1,3,5,4,2,2,1,5,3,4,4,3,4,5,3,2,1,4,2,4,2,1,5,1,2,1,2,5,5,5,4,2,4,3,1,2,4,4,1,1,4,4,3,5,3,5,2,2,1,19,1,,1,,6,,1,1,,経済,,1,,1,英語,2,2,,2,"1,2",,
K,1,4,13,1,2,2,4,2,2,1,2,3,2,2,1,4,2,3,3,1,1,4,1,4,2,2,4,4,4,2,5,4,2,3,3,1,1,1,1,2,4,1,1,1,3,4,1,1,1,5,2,5,1,,1,,1,,7,神道,1,1,,国際基幹教育院　総合教育部文系,,1,,1,,2,2,,0,,,年齢不詳
K,1,4,14,1,1,3,5,4,2,3,2,5,2,3,5,3,3,3,1,2,5,5,1,3,5,5,5,1,5,1,2,5,5,5,5,3,5,5,2,5,4,5,5,1,5,4,4,4,3,5,4,4,2,20,1,,1,,6,,1,1,,経済,,1,,1,英語、中国語、スペイン語,2,7,,50,"1,2,4",,
K,1,4,15,2,1,2,4,4,2,2,3,2,3,2,4,4,3,2,2,2,1,3,2,2,2,1,3,2,2,2,3,3,2,2,2,2,2,3,2,2,2,1,1,1,3,3,3,3,2,3,2,2,2,19,1,,1,,1,,1,1,,地域創造学類,,1,,1,,3,3,,0,,,母国語の他に使えるコミュニケーションの手段　不明
K,1,4,16,2,2,2,3,2,2,2,3,2,2,2,3,3,2,2,4,3,1,3,2,2,2,1,3,2,3,3,4,3,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,3,2,4,1,19,1,,1,,6,,1,1,,,,1,,0,,,,,0,,,専攻　無回答
K,1,4,17,1,2,2,3,4,1,1,2,3,4,5,4,3,1,2,3,5,1,4,3,2,2,1,4,2,4,2,3,4,2,4,2,1,3,3,4,4,3,2,1,1,3,4,3,4,2,5,5,4,2,18,1,,1,,6,,1,1,,地域創造学類,,1,,0,,,,,0,,,
K,1,4,18,2,2,3,4,2,3,2,2,3,2,3,4,3,2,3,3,2,1,3,2,3,3,1,3,3,3,3,4,3,3,3,1,2,2,1,1,2,3,1,1,1,3,3,2,2,2,3,2,3,1,19,1,,1,,6,,1,1,,地域創造学,,1,,0,,,,,0,,,
K,1,4,19,2,1,2,4,3,4,1,2,4,2,1,3,4,1,2,3,1,1,3,2,4,4,1,3,1,2,2,4,4,2,2,2,1,2,2,1,1,2,4,3,1,4,4,3,5,2,5,1,4,1,19,1,,1,,1,,1,1,,経済,,1,,1,,2,3,,3,"1,2",,母国語の他に使えるコミュニケーションの手段　不明
K,1,4,20,22,2,3,4,2,2,5,4,4,2,2,2,4,2,3,3,2,1,4,3,3,2,2,2,2,3,2,4,4,4,4,4,2,3,1,1,1,2,1,1,1,4,4,2,2,3,3,2,3,1,18,1,,1,,5,,1,1,,経済学類,,1,,1,英語,2,2,,2,"2,4",,
K,1,4,21,2,1,2,4,2,2,2,3,4,3,2,3,3,3,2,3,2,1,4,1,2,3,1,3,3,3,4,4,4,2,2,2,2,2,2,1,2,2,2,1,1,3,3,2,4,2,5,2,3,1,19,1,,1,,6,,1,1,,教育学部,,1,,0,,,,,1,5,高校の修学旅行,
K,1,4,22,2,1,1,4,1,1,1,4,2,1,2,1,1,1,1,3,1,1,4,1,1,3,1,4,1,4,4,4,4,,4,,1,1,1,1,1,1,1,1,1,3,3,3,1,1,4,1,1,1,18,1,,1,,6,,1,1,,人間社会学域学校教育学類,,1,,0,,,,,0,,,GC05 重複、GC07 無回答
K,1,4,23,3,2,4,2,3,4,5,2,4,3,5,3,4,3,4,5,4,4,3,4,4,5,4,4,4,4,4,3,4,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,2,19,1,,1,,6,,1,1,,なし,,1,,1,,2,2,,0,,,母国語の他に使えるコミュニケーションの手段　不明
K,1,4,24,2,2,3,4,2,3,3,3,3,2,2,4,3,2,2,3,2,1,3,2,2,3,1,3,2,3,3,3,3,2,3,2,1,2,2,3,2,2,2,1,1,3,3,2,3,2,4,2,3,2,19,1,,1,,1,,1,1,,,,1,,0,,,,,1,5,修学旅行,専攻　無回答
K,1,4,25,2,2,3,4,3,5,2,2,5,4,4,4,4,2,5,3,2,1,4,2,5,5,1,5,5,3,3,4,5,4,4,3,2,4,3,1,2,4,4,2,1,4,5,2,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,Demographics 無回答
K,1,4,26,2,2,2,3,2,2,3,2,2,2,3,3,3,3,3,3,2,1,3,2,2,2,1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,18,1,,1,,1,,1,1,,経済,,1,,1,英語,2,7,,0,,,
K,1,4,27,2,2,,,2,2,3,2,2,3,2,2,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,3,2,2,2,19,1,,1,,7,特にない,1,1,,経済,,1,,1,英語,1,2,,0,,,IS03　重複、IS04　無回答
K,1,4,28,1,1,3,5,1,4,2,5,5,4,4,5,5,5,5,5,4,1,4,2,4,4,4,4,4,4,2,3,4,5,4,2,1,3,4,4,3,4,4,5,5,2,2,2,2,1,2,2,3,2,19,1,,1,,1,,1,1,,経済学,,1,,0,,,,,0,,,
K,1,5,1,4,2,2,3,1,4,1,4,4,4,1,3,2,2,3,4,2,1,3,2,2,3,1,2,2,4,3,3,2,1,1,2,1,2,3,3,2,4,1,1,1,3,3,3,4,2,4,2,4,2,19,1,,1,,1,,1,1,,経済学類,,1,,0,,,,,0,,,
K,1,5,2,2,2,2,4,3,4,3,2,4,3,3,3,2,2,3,3,2,1,4,2,2,2,1,4,2,2,2,4,3,3,3,3,2,3,2,2,2,3,1,1,1,3,3,2,3,2,4,2,3,2,19,1,,1,,5,,1,1,,人間社会学域　経済学類,,1,,1,英語,2,3,,0,,,
K,1,5,3,4,2,3,5,2,2,3,2,4,3,2,3,3,2,2,3,2,1,3,2,2,4,1,4,3,3,3,4,3,2,2,2,1,3,2,1,2,3,1,1,1,4,5,2,3,1,5,2,4,2,19,1,,1,,1,,1,1,,経済学類,,1,,0,,,,,0,,,
K,1,5,4,2,2,3,4,2,2,2,2,3,2,2,4,4,4,4,3,2,1,3,1,2,2,1,2,2,4,2,4,4,2,4,3,2,3,2,2,2,3,1,1,1,4,3,3,4,2,4,2,4,2,19,1,,1,,1,,1,1,,経済,,1,,1,英語,2,2,,0,,,
K,1,5,5,2,2,2,4,3,2,3,2,4,2,3,2,2,4,3,3,1,5,3,2,2,4,1,3,3,4,2,2,3,4,3,2,1,4,3,1,3,2,4,3,1,4,4,3,4,3,5,2,2,1,19,1,,1,,1,,1,1,,地域創造学類,,1,,1,フランス語,1,2,,1,5,修学旅行,
K,1,5,6,2,1,2,4,2,2,1,3,3,2,3,4,3,4,3,4,3,1,4,2,2,3,1,4,3,3,3,4,4,2,3,2,1,2,1,4,1,1,1,1,1,3,2,3,4,2,5,2,3,1,19,1,,1,,6,,1,1,,人間社会学域　地域創造学類,,1,,0,,,,,0,,,
K,1,5,7,2,3,3,4,3,4,1,3,3,1,3,2,3,2,4,2,4,3,3,2,4,2,4,2,4,1,3,4,2,4,2,4,2,3,3,3,4,2,4,2,5,3,3,4,3,2,4,3,3,2,20,1,,1,,1,,1,1,,人間社会学部　経済学域,,1,,0,,,,,0,,,
K,1,5,8,4,3,4,5,3,4,2,2,4,4,4,4,3,2,4,4,3,1,4,2,,2,1,2,3,5,4,4,4,4,4,2,4,3,3,2,2,3,3,2,1,2,3,3,3,3,3,3,3,2,19,1,,1,,1,,1,1,,学校教育学類　数学専修,,1,,0,,,,,1,5,,IS21 無回答
K,1,5,9,1,2,3,5,4,2,3,3,2,4,3,2,4,3,3,3,2,1,3,2,1,3,1,4,1,3,2,4,5,5,4,4,4,5,3,3,5,4,2,1,1,4,3,3,3,3,4,4,4,2,20,1,,1,,1,,1,1,,総合教育部文系,,1,,1,英語,2,1,,0,,,
K,1,5,10,2,2,2,5,4,4,2,4,2,2,3,3,2,2,3,4,2,1,5,1,2,2,5,5,2,2,2,5,5,5,4,4,2,4,4,4,1,2,5,1,1,5,4,4,4,4,5,3,5,1,19,1,,1,,1,,1,1,,学校教育学類英語専修,,1,,1,英語,3,2,,3,"1,2,5",高校の修学旅行,
K,1,5,11,2,2,2,4,2,2,3,3,2,3,3,3,2,2,2,4,2,1,4,2,2,3,1,4,2,2,3,4,3,3,2,4,2,2,2,3,3,2,1,1,1,4,3,2,2,2,3,2,2,2,20,1,,1,,6,,1,1,,経済学,,1,,1,英語,2,2,,0,,,
K,1,5,12,2,3,2,3,2,2,3,3,3,2,2,3,3,2,2,4,2,1,3,1,1,3,1,2,3,4,4,4,3,2,2,1,1,2,2,1,2,3,1,1,1,3,3,2,3,1,4,2,4,2,18,1,,1,,6,,1,1,,経済学部,,1,,0,,,,,0,,,
K,1,5,13,3,2,2,4,4,4,1,2,3,4,3,4,3,2,3,3,3,1,4,2,2,3,1,4,2,3,2,5,4,4,3,2,3,4,4,3,1,4,5,1,5,4,2,3,3,2,4,2,5,2,19,1,,1,,6,,1,1,,総合教育部文系,,1,,1,英語,3,2,,4,"2,4,5",部活動,
K,1,5,14,3,2,4,4,2,5,2,1,5,2,2,5,4,3,3,3,2,1,5,2,2,4,1,5,2,3,2,4,4,4,3,3,2,5,3,2,3,4,3,1,1,4,3,5,5,3,5,2,4,1,19,1,,1,,1,,1,1,,学校教育学部,,1,,1,,3,2,,2,"2,4",,母国語の他に使えるコミュニケーションの手段　不明
K,1,5,15,2,2,3,4,3,2,2,3,3,2,2,4,3,3,3,4,3,1,2,2,2,4,1,3,3,3,3,3,4,3,2,4,2,3,3,1,2,2,1,1,1,3,3,4,4,2,4,1,4,1,19,1,,1,,1,,1,1,,学校教育学類　音楽教育専修,,1,,1,英語、ドイツ語,独 1、英 2,2,,1,5,高校の修学旅行,
K,1,5,16,1,5,2,2,5,4,1,2,5,2,2,2,4,4,5,4,1,1,4,2,4,2,5,2,4,3,1,5,3,5,3,5,2,3,2,3,4,3,4,2,1,5,4,2,5,2,5,3,5,1,18,1,,1,,7,無し,1,1,,総合教育部文系,,1,,1,英語,3,1,,1,5,インターンシップ,
K,1,5,17,2,1,4,4,2,2,3,2,3,4,1,4,4,2,3,2,4,1,3,1,2,3,3,3,4,3,2,3,4,3,3,2,1,2,2,1,3,3,2,1,1,4,3,1,3,3,5,1,3,1,18,1,,1,,1,,1,1,,まだ決まっていない、文系一括,,1,,1,英語、朝鮮語,2,2,,1,5,研修旅行,
K,1,5,18,2,1,2,5,4,2,1,4,4,4,4,4,3,4,4,4,5,1,4,1,4,4,1,4,5,4,3,5,5,5,5,2,4,4,4,1,1,2,1,1,1,4,5,4,3,3,5,5,4,1,19,1,,1,,6,,1,1,,人間社会学域　経済学類,,1,,0,,,,,1,5,高校の修学旅行,
K,1,5,19,2,2,2,4,2,2,2,3,3,2,2,3,3,3,2,4,2,1,3,2,2,2,1,2,2,3,3,3,3,3,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,1,2,1,19,1,,1,,1,,1,1,,経済学類,,1,,1,英語,2,2,,1,5,高校の修学旅行,
K,1,5,20,3,2,2,4,2,2,3,2,4,2,1,2,3,1,2,3,1,1,3,2,2,5,1,3,2,3,3,3,3,1,3,3,1,2,2,1,1,2,1,1,1,3,3,2,4,1,3,2,2,1,19,1,,1,,7,分からない,1,1,,人間社会学域地域創造学類,,1,,1,英語,1,7,,0,,,
K,1,5,21,2,1,2,5,4,1,2,3,4,4,3,3,4,2,4,4,4,1,3,1,2,4,1,4,2,4,2,4,4,4,2,2,1,4,3,1,3,2,3,1,1,4,2,3,2,3,4,2,4,1,19,1,,1,,1,,1,1,,地域創造,,1,,1,英語,2,3,,2,"1,2",,
K,1,5,22,2,1,2,3,2,1,2,2,3,2,2,4,3,2,2,3,2,1,5,5,4,5,1,4,3,3,1,5,4,4,2,2,1,4,2,1,2,3,1,1,1,5,4,4,4,2,5,2,4,1,19,1,,1,,6,,1,1,,学校教育学類国語専修,,1,,0,,,,,0,,,
K,1,5,23,2,1,2,3,1,1,2,3,4,2,2,2,2,1,1,4,1,1,3,1,2,1,1,4,1,5,4,3,3,2,2,1,1,2,1,3,1,2,1,1,1,3,4,4,2,1,5,2,3,1,18,1,,1,,6,,1,1,,学校教育学類,,1,,1,英語,2,8,バイト先で英語対応をする時のみ,0,,,
K,1,5,24,3,1,2,5,2,1,2,4,2,2,3,3,2,4,1,5,5,1,5,4,1,4,1,5,3,5,3,5,5,1,1,1,1,1,1,1,4,4,4,2,1,5,3,2,5,1,5,3,5,2,19,1,,1,,7,世界平和統一家庭連合,1,1,,経済,,1,,1,英語,1,3,,3,"2,5",世界の人々が集まって、ワークショップをした。,
K,1,5,25,2,3,4,4,2,5,3,2,2,3,3,4,4,2,2,4,4,1,4,1,2,2,1,3,2,3,3,5,3,2,2,2,1,2,2,2,2,3,1,1,1,4,4,2,4,2,4,3,4,2,20,1,,1,,6,,1,1,,学校教育学類　英語専修,,1,,0,,,,,0,,,
K,1,5,26,2,1,4,5,3,2,4,1,4,2,2,4,4,4,4,4,2,1,4,2,5,4,1,4,3,5,2,4,4,1,1,3,1,2,2,2,2,2,1,1,1,3,2,4,3,2,5,1,3,1,20,1,,1,,1,,1,1,,,,1,,1,,2,6,,1,5,高校の修学旅行,専攻　無回答、母国語の他に使えるコミュニケーションの手段　不明
K,1,5,27,2,2,4,4,4,2,2,2,3,3,3,3,2,3,4,3,2,2,2,4,4,4,3,3,3,3,3,4,3,2,,3,3,3,3,4,4,4,3,3,3,3,3,2,2,4,3,3,3,2,,1,,1,,7,,1,1,,総合教育部,,1,,1,英語,2,3,,7,"1,2",,"GC06 重複、年齢不詳,信仰する宗教　詳細無回答"
K,1,6,1,2,2,4,4,4,4,2,3,3,3,3,4,3,4,3,2,3,1,4,2,4,3,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,3,2,2,2,3,3,2,3,2,3,2,2,1,20,1,,1,,5,,1,1,,地域創造学類,,1,,1,英語、中国語,2,2,,1,1,,
K,1,6,2,3,3,4,3,2,2,3,3,4,2,3,5,4,4,3,4,2,1,4,3,2,3,1,4,3,4,4,4,4,3,3,2,1,1,1,1,3,2,1,1,1,4,3,2,3,2,4,3,3,1,18,1,,1,,1,,1,1,,学校教育学類特別支援教育専修,,1,,1,英語,1,3,,0,,,
K,1,6,3,2,2,3,4,4,3,4,3,4,2,2,3,3,3,3,4,2,1,3,1,2,2,1,3,4,4,3,3,4,2,2,2,1,2,2,2,1,2,1,1,1,3,3,3,3,2,3,2,3,2,19,1,,1,,1,,1,1,,学校教育　理科,,1,,1,英語,2,2,,0,,,
K,1,6,4,2,1,2,4,3,2,2,2,2,3,2,3,2,2,3,3,3,1,4,2,2,2,1,3,3,4,2,3,3,3,3,4,2,3,2,2,3,4,1,1,1,3,3,3,3,2,4,2,3,2,19,1,,1,,5,,1,1,,人間社会学域経済学類,,1,,0,,,,,1,2,,
K,1,6,5,2,1,2,5,3,3,3,2,3,3,3,4,4,4,4,4,2,1,4,2,3,3,1,4,2,3,3,4,4,3,2,1,1,3,1,1,2,4,4,1,1,4,4,3,4,2,3,2,5,1,19,1,,1,,7,ないです。,1,1,,人間社会学域　学校教育学類,,1,,1,英語,2,3,,1,5,高校の研修,
K,1,6,6,2,1,1,5,4,1,1,1,4,3,3,4,4,2,4,3,1,1,4,1,2,4,1,5,1,2,2,5,5,4,4,4,2,5,4,2,2,3,5,1,1,5,4,4,4,3,5,2,5,1,19,1,,1,,1,,1,1,,,,1,,1,英語,3,2,,1,"1,2",,専攻　無回答
